"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 05 18:46:17 CET 2023","Sun Nov 05 18:46:23 CET 2023","5848","Google Chrome","reporting_tests\1.Built-in_reporters.spec.ts","Home Page Tests - built-in reporters","","","Verify home link is enabled",""
"skipped","Sun Nov 05 18:51:11 CET 2023","Sun Nov 05 18:51:11 CET 2023","1","Google Chrome","parallel_tests\Test_3.spec.ts","Upload file","","","Upload the file usind prepared methods in component Class",""
"failed","Sun Nov 05 18:46:17 CET 2023","Sun Nov 05 18:46:35 CET 2023","18820","Google Chrome","reporting_tests\2.Third_Party_reporters.spec.ts","Upload file test using created component method","","","Upload file using the proper component",""
"passed","Sun Nov 05 18:46:17 CET 2023","Sun Nov 05 18:46:24 CET 2023","7447","Google Chrome","reporting_tests\1.Built-in_reporters.spec.ts","Home Page Tests - built-in reporters","","","Open HomePage and verify the title",""
"passed","Sun Nov 05 18:46:17 CET 2023","Sun Nov 05 18:46:31 CET 2023","14411","Google Chrome","reporting_tests\1.Built-in_reporters.spec.ts","Home Page Tests - built-in reporters","","","Finding all elements of the list texts",""
"passed","Sun Nov 05 18:51:12 CET 2023","Sun Nov 05 18:51:18 CET 2023","6794","Google Chrome","parallel_tests\Test_1.spec.ts","Home Page Tests - Parallel","","","Clicking get Started Button",""
"passed","Sun Nov 05 18:46:17 CET 2023","Sun Nov 05 18:46:27 CET 2023","9909","Google Chrome","reporting_tests\2.Third_Party_reporters.spec.ts","Upload file test using created component method","","","Upload the file usind prepared methods in component Class",""
"passed","Sun Nov 05 18:46:17 CET 2023","Sun Nov 05 18:46:24 CET 2023","7125","Google Chrome","reporting_tests\1.Built-in_reporters.spec.ts","Home Page Tests - built-in reporters","","","Clicking get Started Button",""
"passed","Sun Nov 05 18:51:12 CET 2023","Sun Nov 05 18:51:18 CET 2023","6982","Google Chrome","parallel_tests\Test_6.spec.ts","Blog","","","Verify Recent Posts count and verify the length of each list item",""
"passed","Sun Nov 05 18:51:11 CET 2023","Sun Nov 05 18:51:18 CET 2023","6706","Google Chrome","parallel_tests\Test_1.spec.ts","Home Page Tests - Parallel","","","Verify home link is enabled",""
"passed","Sun Nov 05 18:51:11 CET 2023","Sun Nov 05 18:51:19 CET 2023","7136","Google Chrome","parallel_tests\Test_1.spec.ts","Home Page Tests - Parallel","","","Open HomePage and verify the title",""
"passed","Sun Nov 05 18:50:02 CET 2023","Sun Nov 05 18:50:11 CET 2023","9018","Google Chrome","tests_in_general\17.Cross_browser_Testing.spec.ts","Contact - Multibrowser tests","","","Fill contact form and verify success message",""
"passed","Sun Nov 05 18:46:17 CET 2023","Sun Nov 05 18:46:24 CET 2023","7328","Google Chrome","reporting_tests\1.Built-in_reporters.spec.ts","Home Page Tests - built-in reporters","","","Verify Search icon is visible using xpath selector and css selector",""
"passed","Sun Nov 05 18:46:17 CET 2023","Sun Nov 05 18:46:24 CET 2023","7274","Google Chrome","reporting_tests\1.Built-in_reporters.spec.ts","Home Page Tests - built-in reporters","","","Verify header text",""
"passed","Sun Nov 05 18:51:12 CET 2023","Sun Nov 05 18:51:18 CET 2023","6372","Google Chrome","parallel_tests\Test_1.spec.ts","Home Page Tests - Parallel","","","Verify header text",""
"broken","Sun Nov 05 18:51:12 CET 2023","Sun Nov 05 18:51:42 CET 2023","30628","Google Chrome","parallel_tests\Test_3.spec.ts","Upload file","","","Should upload a solutions_result.png file",""
"broken","Sun Nov 05 18:51:12 CET 2023","Sun Nov 05 18:51:42 CET 2023","30662","Google Chrome","parallel_tests\Test_3.spec.ts","Upload file","","","Should upload a 3mb_file.pdf file",""
"passed","Sun Nov 05 18:51:11 CET 2023","Sun Nov 05 18:51:19 CET 2023","7736","Google Chrome","parallel_tests\Test_4.spec.ts","Account Verification - global setups added - multiple roles added","","","Orders Access",""
"failed","Sun Nov 05 18:51:12 CET 2023","Sun Nov 05 18:51:22 CET 2023","10349","Google Chrome","parallel_tests\Test_2.spec.ts","Upload file test using created component method","","","Upload file using the proper component",""
"passed","Sun Nov 05 18:51:12 CET 2023","Sun Nov 05 18:51:24 CET 2023","12859","Google Chrome","parallel_tests\Test_5.spec.ts","Contact","","","Fill contact form and verify success message",""
